App,Package,Start Time,Duration,Filename
"System",,"Oct 25, 2019 @ 10:35:39 PM","59 sec","Trepn_2019.10.25_223539.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
0,3,29,2004907,36,180000,37,12,19,1555200,21,1555200,23,1555200,25,1555200,27,864000,29,864000,32,864000,36,0,21,37,23,32,25,28,27,23,29,30,32,13,35,12,36,0,
32,3,129,1781056,135,180000,136,12,119,1555200,121,1555200,124,1555200,126,1555200,128,633600,130,633600,132,633600,134,0,121,72,123,44,126,66,127,40,129,0,131,0,134,0,135,0,
131,3,178,1087533,182,180000,182,12,169,1555200,171,1555200,173,1555200,175,1555200,176,633600,178,633600,180,633600,181,0,171,60,172,25,174,25,176,25,178,0,179,0,181,0,182,0,
180,3,279,1051683,284,180000,284,0,270,1555200,272,1555200,274,1555200,275,1555200,277,633600,279,633600,281,633600,283,0,271,50,273,14,275,33,277,33,278,0,281,0,282,0,283,0,
281,3,382,1533615,387,180000,388,0,371,1555200,374,1555200,376,1555200,378,1555200,380,633600,383,633600,385,633600,387,0,373,72,376,60,378,55,380,22,382,20,384,0,386,0,387,0,
385,3,481,2039028,486,180000,487,0,471,1555200,474,1555200,476,1555200,478,1555200,479,633600,481,633600,484,633600,486,0,473,100,475,63,477,50,479,66,481,22,483,0,485,0,486,0,
483,3,581,1226086,585,180000,586,0,572,1555200,574,1555200,576,1555200,578,1555200,579,633600,581,633600,583,633600,585,0,574,62,576,28,577,45,579,36,580,0,582,0,584,0,585,0,
582,3,683,1448359,687,180000,688,0,674,1555200,676,1555200,678,1555200,679,1555200,681,633600,683,633600,685,633600,686,0,676,58,677,50,679,53,681,41,682,0,684,0,686,0,687,0,
684,3,783,1878564,788,180000,788,0,773,1555200,775,1555200,777,1555200,779,1555200,781,633600,783,633600,785,633600,787,0,775,88,777,63,779,61,780,50,782,0,785,0,786,0,787,0,
785,3,883,1884950,889,180000,889,0,874,1555200,876,1555200,878,1555200,880,1555200,882,633600,884,633600,886,633600,888,0,876,88,877,70,879,75,881,25,883,20,885,0,888,0,888,0,
886,3,983,1940243,988,180000,988,0,975,1555200,977,1555200,979,1555200,980,1555200,982,633600,983,633600,985,633600,987,0,976,77,978,77,980,57,981,53,983,27,985,20,986,0,987,0,
985,3,1087,1555125,1094,180000,1094,0,1077,1555200,1080,1555200,1081,1555200,1083,1555200,1085,633600,1087,633600,1090,633600,1092,0,1078,75,1081,66,1083,57,1085,14,1087,0,1089,0,1092,0,1093,0,
1089,3,1187,1813249,1192,180000,1193,0,1177,1555200,1179,1555200,1181,1555200,1183,1555200,1185,633600,1187,0,1188,633600,1191,0,1179,80,1181,55,1183,63,1184,50,1186,20,1187,0,1191,0,1192,0,
1188,3,1291,2003649,1296,180000,1297,0,1277,1555200,1279,1555200,1281,1555200,1284,1555200,1286,633600,1291,0,1292,633600,1296,0,1279,80,1281,75,1284,72,1286,50,1290,10,1292,0,1295,0,1296,0,
1292,3,1390,1750001,1396,180000,1396,0,1378,1555200,1380,1555200,1382,1555200,1386,1555200,1388,633600,1391,0,1393,633600,1395,0,1380,80,1382,75,1385,81,1388,0,1390,33,1391,0,1395,0,1395,0,
1392,3,1486,1740108,1488,180000,1489,0,1478,1555200,1480,1555200,1481,1555200,1483,1555200,1484,633600,1486,0,1486,633600,1488,0,1480,81,1481,75,1482,72,1484,12,1486,11,1486,0,1487,0,1488,0,
1486,3,1588,860411,1594,180000,1594,0,1579,1555200,1580,1555200,1582,1555200,1584,1555200,1586,633600,1588,0,1589,633600,1593,0,1580,44,1582,25,1584,33,1586,18,1588,0,1589,0,1593,0,1593,0,
1589,3,1688,1472591,1692,180000,1693,0,1679,1555200,1681,1555200,1683,1555200,1684,1555200,1686,633600,1688,0,1689,633600,1691,0,1681,62,1682,40,1684,54,1686,44,1688,22,1688,0,1690,0,1692,0,
1689,3,1794,436665,1798,180000,1799,0,1780,960000,1782,960000,1785,960000,1787,960000,1790,633600,1794,0,1795,633600,1797,0,1782,45,1784,33,1787,22,1790,33,1794,0,1795,0,1797,0,1798,0,
1795,3,1889,1735162,1893,180000,1894,0,1880,1555200,1882,1555200,1884,1555200,1886,1555200,1888,633600,1890,0,1891,633600,1892,0,1882,90,1884,42,1885,50,1887,60,1889,0,1890,0,1892,0,1893,0,
1890,3,1989,1792523,1993,180000,1994,0,1981,1555200,1982,1555200,1984,1555200,1986,1555200,1987,633600,1990,0,1991,633600,1992,0,1982,66,1984,100,1985,44,1987,40,1989,0,1990,0,1992,0,1993,0,
1990,3,2091,774370,2096,180000,2096,0,2081,1555200,2083,1555200,2085,1555200,2087,1555200,2089,633600,2091,0,2093,633600,2095,0,2083,40,2084,41,2086,0,2088,27,2091,0,2092,0,2095,0,2095,0,
2093,3,2189,1010983,2193,180000,2194,0,2182,1555200,2183,1555200,2185,1555200,2186,1555200,2188,633600,2190,0,2190,633600,2192,0,2183,40,2185,54,2186,25,2188,22,2189,0,2190,0,2192,0,2193,0,
2190,3,2290,1055443,2294,180000,2294,0,2282,1555200,2284,1555200,2285,1555200,2287,1555200,2288,633600,2290,0,2291,633600,2293,0,2284,50,2285,53,2286,12,2288,30,2290,9,2290,0,2293,0,2293,0,
2291,3,2393,802908,2396,180000,2397,0,2383,1248000,2385,1248000,2387,1248000,2389,1248000,2391,633600,2393,0,2394,633600,2395,0,2385,44,2387,45,2388,45,2390,27,2393,0,2394,0,2395,0,2396,0,
