App,Package,Start Time,Duration,Filename
"System",,"Oct 25, 2019 @ 10:24:23 PM","57 sec","Trepn_2019.10.25_222423.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
24,3,15,526950,42,180000,46,24,0,1555200,3,1555200,4,1555200,10,1555200,13,633600,16,633600,29,633600,33,633600,2,16,4,20,10,15,12,11,15,47,24,24,32,20,41,10,
44,3,107,2052261,112,180000,112,0,100,1555200,102,1555200,103,1555200,104,1555200,105,864000,107,864000,109,864000,111,864000,101,80,103,40,104,58,105,57,107,12,109,11,110,14,112,0,
109,3,208,1152409,214,180000,214,0,200,1555200,202,1555200,204,1555200,205,1555200,207,633600,209,633600,210,633600,212,633600,202,54,203,37,205,30,207,30,208,0,210,0,212,0,213,0,
210,3,313,653298,322,180000,323,0,301,1248000,303,1248000,306,1248000,308,1248000,311,633600,313,633600,315,633600,320,633600,303,54,305,25,308,22,310,30,312,0,315,0,319,10,322,0,
315,3,412,1476254,419,180000,420,0,401,1555200,404,1555200,407,1555200,409,1555200,411,633600,412,633600,414,633600,416,633600,404,63,406,53,408,40,410,45,412,10,414,0,416,0,419,0,
414,3,461,1362317,466,180000,467,0,452,1555200,454,1555200,456,1555200,458,1555200,459,633600,461,633600,463,633600,464,633600,454,50,456,57,457,33,459,50,461,0,462,0,464,0,466,0,
462,3,563,1445507,568,180000,568,0,554,1555200,556,1555200,558,1555200,560,1555200,561,633600,563,633600,565,633600,566,633600,555,60,557,55,559,40,561,40,562,27,564,0,566,0,567,0,
564,3,666,510012,673,180000,674,0,654,960000,657,960000,659,960000,661,960000,664,633600,666,633600,669,633600,671,633600,656,54,658,33,661,33,663,30,665,10,668,0,671,0,673,0,
668,3,764,917609,772,180000,772,0,754,1248000,756,1248000,758,1248000,760,1248000,762,633600,764,633600,766,633600,770,633600,756,55,758,50,760,33,762,46,764,0,766,0,768,0,771,0,
766,3,864,867739,871,180000,871,0,855,1248000,857,1248000,859,1248000,861,1248000,863,633600,865,633600,867,633600,869,633600,856,61,858,50,860,30,862,33,864,0,866,0,868,0,870,0,
866,3,965,1441188,971,180000,972,0,956,1555200,958,1555200,960,1555200,962,1555200,963,633600,965,633600,967,633600,969,633600,957,70,960,58,961,40,963,33,965,0,966,0,969,0,971,0,
967,3,1065,946452,1071,180000,1071,0,1056,1555200,1058,1555200,1060,1555200,1062,1555200,1064,633600,1065,633600,1067,633600,1069,633600,1058,58,1060,40,1061,12,1063,22,1065,0,1066,0,1069,0,1071,0,
1067,3,1165,1240426,1171,180000,1172,0,1158,1555200,1159,1555200,1161,1555200,1162,1555200,1164,633600,1165,633600,1167,633600,1169,633600,1159,61,1160,40,1162,36,1164,36,1165,0,1167,0,1169,0,1171,0,
1167,3,1267,718129,1273,180000,1274,0,1258,1248000,1260,1248000,1262,1248000,1264,1248000,1265,633600,1267,633600,1269,633600,1271,633600,1260,60,1261,30,1263,27,1265,27,1267,0,1269,0,1271,0,1273,0,
1269,3,1369,633350,1375,180000,1375,0,1359,1248000,1361,1248000,1362,1248000,1364,1248000,1366,633600,1369,633600,1371,633600,1373,633600,1360,50,1362,33,1364,44,1366,0,1368,0,1371,0,1373,0,1374,0,
1371,3,1467,1190235,1472,180000,1473,0,1459,1555200,1461,1555200,1462,1555200,1464,1555200,1466,633600,1467,633600,1469,633600,1471,633600,1460,80,1462,33,1464,28,1465,25,1467,0,1468,0,1470,0,1472,0,
1469,3,1569,976572,1577,180000,1578,0,1560,1555200,1561,1555200,1563,1555200,1565,1555200,1567,633600,1570,633600,1572,633600,1575,633600,1561,57,1563,33,1565,14,1567,30,1569,9,1572,0,1574,0,1577,0,
1572,3,1679,1778183,1684,180000,1685,0,1660,1555200,1664,1555200,1666,1555200,1671,1555200,1675,633600,1679,633600,1681,633600,1683,633600,1662,66,1666,58,1671,54,1674,70,1678,0,1680,0,1682,0,1684,0,
1681,3,1778,1983892,1784,180000,1784,0,1760,1555200,1762,1555200,1764,1555200,1767,1555200,1774,633600,1779,633600,1781,633600,1782,633600,1762,90,1763,72,1766,62,1773,50,1778,11,1780,0,1782,0,1784,0,
1780,3,1870,1648780,1877,180000,1879,0,1861,1555200,1862,1555200,1864,1555200,1866,1555200,1868,1248000,1870,1248000,1872,1248000,1875,1248000,1862,50,1864,63,1866,44,1868,50,1870,33,1872,0,1874,0,1876,0,
1872,3,1974,1508912,1982,180000,1982,0,1962,1555200,1964,1555200,1966,1555200,1970,1555200,1972,633600,1975,633600,1978,633600,1980,633600,1963,72,1966,55,1968,37,1972,44,1974,10,1977,0,1980,0,1981,0,
1977,3,2071,1358340,2076,180000,2077,0,2062,1555200,2064,1555200,2065,1555200,2067,1555200,2068,633600,2071,633600,2073,633600,2074,633600,2063,70,2065,55,2066,20,2068,42,2070,10,2072,0,2074,0,2076,0,
2072,3,2171,1211745,2177,180000,2178,0,2162,1555200,2164,1555200,2166,1555200,2168,1555200,2170,633600,2171,633600,2173,633600,2175,633600,2164,63,2165,40,2167,30,2169,36,2171,0,2173,0,2175,0,2177,0,
2173,3,2271,1390998,2276,180000,2277,0,2263,1555200,2264,1555200,2266,1555200,2268,1555200,2270,633600,2272,633600,2273,633600,2275,633600,2264,58,2266,54,2267,46,2269,36,2271,0,2273,0,2275,0,2276,0,
2273,3,2372,1028516,2377,180000,2377,0,2364,1555200,2366,1555200,2367,1555200,2369,1555200,2370,633600,2372,633600,2374,633600,2375,633600,2365,42,2367,36,2368,33,2370,30,2372,10,2373,0,2375,0,2376,0,
2373,3,2472,773827,2479,180000,2479,0,2464,1478400,2465,1478400,2467,1478400,2468,960000,2470,633600,2473,633600,2475,633600,2477,633600,2465,54,2466,25,2468,22,2470,33,2472,0,2474,0,2476,0,2479,0,
2474,3,2574,518648,2585,180000,2586,0,2564,1248000,2566,1248000,2568,1248000,2571,1248000,2573,633600,2575,633600,2577,633600,2581,633600,2566,44,2567,22,2570,27,2572,11,2574,0,2576,0,2580,0,2585,0,
